                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0789,                 1.5375,                 1.5051,                0.68737,                0.68696,                0.71557,                0.48096,                 1.3065,                 1.2042,                 1.8264,                 0.0955,                 0.0005,                 0.0005
                      2,                 1.1542,                 1.6566,                 1.6621,                 0.6943,                0.67192,                0.71397,                0.47958,                 1.3153,                    1.2,                 1.8451,               0.089996,             0.00099601,             0.00099601
                      3,                 1.1516,                 1.2558,                 1.4242,                0.69575,                0.69599,                0.71554,                0.47589,                 1.3229,                 1.1957,                 1.8557,               0.084119,              0.0011185,              0.0011185
