                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1516,                0.61424,                 1.1291,                0.79033,                0.71312,                0.74736,                0.52046,                 1.3114,                0.75931,                 1.7636,               0.010767,               0.010767,               0.010767
                     37,                 1.1432,                0.60804,                 1.1168,                0.75908,                0.70344,                0.72148,                0.50468,                 1.3085,                0.79944,                 1.7645,               0.010699,               0.010699,               0.010699
                     38,                 1.1427,                0.60555,                 1.1122,                0.79275,                0.69368,                0.74433,                0.51562,                 1.2961,                0.76338,                 1.7582,               0.010629,               0.010629,               0.010629
                     39,                 1.1279,                0.58439,                 1.1075,                0.82199,                0.71185,                0.74274,                0.51369,                 1.2929,                0.76474,                 1.7434,               0.010558,               0.010558,               0.010558
                     40,                 1.1455,                0.59111,                 1.1172,                0.83901,                0.67625,                0.72543,                0.50828,                 1.2849,                0.78696,                 1.7419,               0.010486,               0.010486,               0.010486
                     41,                 1.1488,                0.59521,                 1.1167,                0.80909,                0.67363,                0.73938,                0.52151,                 1.2905,                0.77356,                  1.741,               0.010412,               0.010412,               0.010412
                     42,                 1.1075,                0.57364,                 1.1029,                0.71541,                0.73598,                0.75321,                0.52519,                 1.3024,                0.75234,                 1.7654,               0.010336,               0.010336,               0.010336
                     43,                 1.1208,                0.57587,                  1.103,                 0.7681,                0.72352,                0.72179,                0.50783,                 1.3081,                0.76423,                 1.7882,                0.01026,                0.01026,                0.01026
                     44,                 1.1131,                 0.5853,                 1.0988,                0.78911,                 0.7339,                0.74455,                0.52935,                 1.2869,                 0.7278,                 1.7471,               0.010182,               0.010182,               0.010182
                     45,                 1.1255,                0.56662,                 1.0992,                 0.8296,                0.67395,                0.73058,                0.51968,                 1.2816,                0.75378,                 1.7594,               0.010102,               0.010102,               0.010102
                     46,                 1.1085,                0.57117,                 1.0952,                0.76438,                0.71934,                0.71424,                0.50719,                 1.2762,                0.74877,                 1.7698,               0.010021,               0.010021,               0.010021
                     47,                 1.1199,                 0.5718,                 1.0991,                0.76078,                0.70329,                0.73254,                0.52485,                 1.2797,                0.76129,                   1.76,              0.0099394,              0.0099394,              0.0099394
