                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1753,                 3.4581,                 3.0747,                0.56583,                0.36531,                0.38927,                0.16266,                 2.3114,                 2.3835,                 2.4026,              3.845e-05,              3.845e-05,              3.845e-05
                      2,                 2.0202,                 3.7779,                 2.6046,                0.54742,                0.38576,                0.39253,                0.15826,                 2.3147,                 2.4028,                 2.4237,             6.7841e-05,             6.7841e-05,             6.7841e-05
                      3,                 2.2062,                 3.5209,                 3.0665,                0.54314,                0.38842,                0.38917,                0.15537,                  2.324,                 2.4497,                   2.44,             7.8961e-05,             7.8961e-05,             7.8961e-05
