                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8872,                 1.8626,                 1.7969,                0.40862,                  0.363,                0.32659,                0.13329,                 2.2069,                 2.4826,                  2.293,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.8735,                 1.8431,                 1.7893,                0.42894,                0.36144,                0.31956,                0.13648,                 2.2004,                 2.5158,                 2.3035,              0.0093268,              0.0093268,              0.0093268
                     36,                  1.869,                 1.8087,                 1.7777,                0.43207,                0.35418,                0.30419,                0.12565,                 2.2606,                 2.4962,                 2.3588,               0.009307,               0.009307,               0.009307
                     37,                 1.8669,                 1.8128,                 1.7728,                0.41122,                0.35919,                0.32324,                0.13091,                 2.2286,                 2.4799,                 2.3256,              0.0092872,              0.0092872,              0.0092872
                     38,                  1.854,                 1.7822,                 1.7582,                 0.4493,                0.38663,                0.33912,                0.13923,                 2.2359,                 2.4145,                 2.3255,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.8487,                 1.7629,                 1.7572,                 0.4385,                0.37385,                 0.3173,                0.13027,                  2.274,                 2.4789,                   2.38,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.8423,                 1.7462,                 1.7374,                0.41913,                0.38084,                 0.3475,                0.14023,                 2.2424,                 2.4669,                 2.3554,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.8402,                 1.7342,                 1.7508,                0.44662,                0.37616,                0.34927,                 0.1347,                 2.2249,                 2.4358,                 2.2888,               0.009208,               0.009208,               0.009208
                     42,                 1.8291,                 1.7133,                 1.7296,                0.53107,                0.32957,                 0.3425,                0.13757,                 2.2584,                 2.4014,                 2.3566,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.8242,                 1.7005,                 1.7301,                0.43227,                0.36271,                0.34473,                0.13517,                 2.2723,                 2.4637,                 2.3502,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.8175,                 1.6766,                 1.7286,                0.39538,                0.41353,                0.33395,                0.12703,                 2.2814,                 2.3934,                 2.3829,              0.0091486,              0.0091486,              0.0091486
                     45,                  1.808,                 1.6831,                 1.7217,                0.47612,                0.35639,                0.36207,                 0.1478,                 2.2614,                 2.4375,                 2.3459,              0.0091288,              0.0091288,              0.0091288
